timestamp,transaction_id,amount,failure_reason,attempts,customer_type,ai_recommendation,ai_confidence,ai_source,policy_action,guardrail_result,policy_reason,final_action,outcome,amount_recovered
2026-09-02T19:55:04.254047,TXN00001,7999.0,bank_declined,2,returning,RETRY,0.75,local_fallback,RETRY,ALLOWED,Payment appears suitable for another attempt.,RETRY,RECOVERED,7999.0
2026-09-02T19:55:04.258117,TXN00005,2999.0,insufficient_funds,3,loyal,ESCALATE,0.98,local_fallback,ESCALATE,ALLOWED,Maximum retry attempts reached.,ESCALATE,ESCALATED,0.0
2026-09-02T19:55:04.258117,TXN00006,14999.0,bank_timeout,4,loyal,ESCALATE,0.98,local_fallback,ESCALATE,ALLOWED,Maximum retry attempts reached.,ESCALATE,ESCALATED,0.0
2026-09-02T19:55:04.258117,TXN00008,1999.0,bank_timeout,2,loyal,RETRY,0.9,local_fallback,RETRY,ALLOWED,The payment failure may be temporary.,RETRY,RECOVERED,1999.0
2026-09-02T19:55:04.258117,TXN00012,1999.0,bank_declined,3,new,ESCALATE,0.98,local_fallback,ESCALATE,ALLOWED,Maximum retry attempts reached.,ESCALATE,ESCALATED,0.0
2026-09-02T19:55:04.258117,TXN00017,999.0,insufficient_funds,1,returning,REMINDER,0.84,local_fallback,RETRY,OVERRIDDEN,Payment appears suitable for another attempt.,RETRY,RECOVERED,999.0
2026-09-02T19:55:04.258117,TXN00021,7999.0,bank_timeout,1,new,RETRY,0.9,local_fallback,RETRY,ALLOWED,The payment failure may be temporary.,RETRY,NOT_RECOVERED,0.0
2026-09-02T19:55:04.258117,TXN00026,14999.0,insufficient_funds,4,returning,ESCALATE,0.98,local_fallback,ESCALATE,ALLOWED,Maximum retry attempts reached.,ESCALATE,ESCALATED,0.0
2026-09-02T19:55:04.258117,TXN00033,1499.0,network_error,2,returning,RETRY,0.9,local_fallback,RETRY,ALLOWED,The payment failure may be temporary.,RETRY,NOT_RECOVERED,0.0
2026-09-02T19:55:04.259115,TXN00036,4999.0,insufficient_funds,3,loyal,ESCALATE,0.98,local_fallback,ESCALATE,ALLOWED,Maximum retry attempts reached.,ESCALATE,ESCALATED,0.0
