transaction_id,customer_id,amount,status,failure_reason,attempts,customer_type,transaction_date
TXN00001,CUST0001,7999,failed,bank_declined,2,returning,2026-06-02
TXN00002,CUST0002,14999,success,,1,loyal,2026-06-24
TXN00003,CUST0003,999,success,,1,returning,2026-07-30
TXN00004,CUST0004,799,success,,1,loyal,2026-06-11
TXN00005,CUST0005,2999,failed,insufficient_funds,3,loyal,2026-07-20
TXN00006,CUST0006,14999,failed,bank_timeout,4,loyal,2026-08-01
TXN00007,CUST0007,4999,success,,1,returning,2026-07-17
TXN00008,CUST0008,1999,failed,bank_timeout,2,loyal,2026-05-30
TXN00009,CUST0009,9999,success,,1,returning,2026-06-28
TXN00010,CUST0010,1999,success,,1,new,2026-07-21
TXN00011,CUST0011,9999,success,,1,new,2026-07-15
TXN00012,CUST0012,1999,failed,bank_declined,3,new,2026-08-16
TXN00013,CUST0013,799,success,,1,new,2026-08-24
TXN00014,CUST0014,2999,success,,1,returning,2026-08-20
TXN00015,CUST0015,14999,success,,1,loyal,2026-08-23
TXN00016,CUST0016,499,success,,1,loyal,2026-08-18
TXN00017,CUST0017,999,failed,insufficient_funds,1,returning,2026-08-25
TXN00018,CUST0018,799,success,,1,returning,2026-08-21
TXN00019,CUST0019,7999,success,,1,loyal,2026-06-03
TXN00020,CUST0020,9999,success,,1,new,2026-06-18
TXN00021,CUST0021,7999,failed,bank_timeout,1,new,2026-07-09
TXN00022,CUST0022,9999,success,,1,returning,2026-06-06
TXN00023,CUST0023,2999,success,,1,returning,2026-07-13
TXN00024,CUST0024,7999,success,,1,new,2026-06-15
TXN00025,CUST0025,799,success,,1,returning,2026-06-12
TXN00026,CUST0026,14999,failed,insufficient_funds,4,returning,2026-07-25
TXN00027,CUST0027,14999,success,,1,returning,2026-06-18
TXN00028,CUST0028,999,success,,1,returning,2026-06-22
TXN00029,CUST0029,9999,success,,1,returning,2026-08-05
TXN00030,CUST0030,9999,success,,1,new,2026-07-01
TXN00031,CUST0031,999,success,,1,new,2026-05-30
TXN00032,CUST0032,499,success,,1,returning,2026-07-11
TXN00033,CUST0033,1499,failed,network_error,2,returning,2026-07-13
TXN00034,CUST0034,1999,success,,1,new,2026-06-23
TXN00035,CUST0035,499,success,,1,new,2026-08-06
TXN00036,CUST0036,4999,failed,insufficient_funds,3,loyal,2026-06-19
TXN00037,CUST0037,7999,failed,bank_declined,1,new,2026-06-26
TXN00038,CUST0038,7999,success,,1,new,2026-05-31
TXN00039,CUST0039,1499,failed,card_expired,1,loyal,2026-07-27
TXN00040,CUST0040,14999,success,,1,new,2026-08-02
TXN00041,CUST0041,14999,success,,1,returning,2026-07-23
TXN00042,CUST0042,1499,success,,1,returning,2026-07-10
TXN00043,CUST0043,1999,failed,card_expired,4,loyal,2026-07-05
TXN00044,CUST0044,999,success,,1,loyal,2026-07-25
TXN00045,CUST0045,1999,success,,1,new,2026-05-31
TXN00046,CUST0046,1499,failed,bank_timeout,4,new,2026-06-01
TXN00047,CUST0047,1999,success,,1,new,2026-08-02
TXN00048,CUST0048,7999,success,,1,new,2026-06-27
TXN00049,CUST0049,1999,success,,1,new,2026-08-01
TXN00050,CUST0050,1499,failed,bank_declined,1,new,2026-08-15
TXN00051,CUST0051,2999,success,,1,loyal,2026-08-03
TXN00052,CUST0052,4999,success,,1,new,2026-06-13
TXN00053,CUST0053,14999,success,,1,loyal,2026-08-15
TXN00054,CUST0054,999,success,,1,new,2026-05-29
TXN00055,CUST0055,14999,success,,1,loyal,2026-08-19
TXN00056,CUST0056,799,failed,insufficient_funds,3,loyal,2026-06-05
TXN00057,CUST0057,4999,success,,1,returning,2026-06-04
TXN00058,CUST0058,799,success,,1,loyal,2026-08-15
TXN00059,CUST0059,4999,success,,1,returning,2026-06-23
TXN00060,CUST0060,799,failed,bank_timeout,4,returning,2026-07-24
TXN00061,CUST0061,1999,success,,1,new,2026-06-04
TXN00062,CUST0062,799,success,,1,loyal,2026-06-22
TXN00063,CUST0063,2999,success,,1,new,2026-06-29
